Evidence_Rank,Validation_ID,Settlement,LGA,Latitude,Longitude,Settlement_Change_Typology,Statistical_Abandonment_Support,Preliminary_Spectral_Evidence,NDVI_Change_2023_minus_2015,NDBI_Change_2023_minus_2015,Built_Proxy_Pixel_Pct_Change,Manual_Final_Decision,Final_Reporting_Category,Abandonment_Evidence_Level,Final_Adjudicated_Evidence_Category,Final_Abandonment_Support,Potential_Abandonment_Signal,Independent_Evidence_Verified,Final_Evidence_Confidence,Reviewer_Confidence,Evidence_Ranking_Score_0_10,Manual_Review_Priority,Reviewer_RGB_Observation,Reviewer_NDVI_Observation,Reviewer_NDBI_Observation,Reviewer_Comments
1,VV_02,Wumbi,Kala Balge,12.36166,14.35716,A3 - Physical and population decline indicator,False,Strong abandonment-like spectral signal,0.1414981931447982,-0.1437444128096103,-53.79222434671765,Probable abandonment,Probable abandonment,4.0,Probable settlement abandonment,True,True,False,Moderate,Moderate,8,Priority 2,"The 2023 settlement footprint shows a substantial reduction in the built-surface proxy relative to 2015. The pattern is consistent with physical settlement contraction, although Landsat resolution does not permit building-level confirmation.","NDVI increased substantially by +0.141, indicating notable vegetation recovery or encroachment within the settlement-analysis area.","NDBI declined strongly by -0.144, supporting a substantial reduction in built-surface spectral response.",Multiple spectral indicators are consistent with substantial settlement decline. The case is classified as probable rather than confirmed because no independent documentary or field evidence has been incorporated.
2,VV_03,Johana,Kala Balge,12.3713,14.32609,A3 - Physical and population decline indicator,False,Strong abandonment-like spectral signal,0.1100118905305862,-0.0861847009509801,-44.34671765455704,Probable abandonment,Probable abandonment,4.0,Probable settlement abandonment,True,True,False,Moderate,Moderate,8,Priority 2,"The 2023 settlement footprint shows a substantial reduction in the built-surface proxy relative to 2015. The pattern is consistent with physical settlement contraction, although Landsat resolution does not permit building-level confirmation.","NDVI increased substantially by +0.110, indicating notable vegetation recovery or encroachment within the settlement-analysis area.","NDBI declined strongly by -0.086, supporting a substantial reduction in built-surface spectral response.",Multiple spectral indicators are consistent with substantial settlement decline. The case is classified as probable rather than confirmed because no independent documentary or field evidence has been incorporated.
3,VV_05,Disa,Gwoza,11.0262,13.57547,C1 - Multi-indicator candidate with insufficient population evidence,False,Strong abandonment-like spectral signal,0.1043876409530639,-0.0467491596937179,-62.40917782026769,Probable abandonment,Probable abandonment,4.0,Probable settlement abandonment,True,True,False,Moderate,Moderate,8,Priority 2,"The 2023 settlement footprint shows a substantial reduction in the built-surface proxy relative to 2015. The pattern is consistent with physical settlement contraction, although Landsat resolution does not permit building-level confirmation.","NDVI increased substantially by +0.104, indicating notable vegetation recovery or encroachment within the settlement-analysis area.","NDBI declined by -0.047, supporting some reduction in built-surface spectral response.",Multiple spectral indicators are consistent with substantial settlement decline. The case is classified as probable rather than confirmed because no independent documentary or field evidence has been incorporated.
4,VV_10,Limila,Bama,11.32878,13.99383,B1 - Physical/light decline with population persistence or growth,False,Strong abandonment-like spectral signal,0.1538571715354919,-0.1489090025424957,-71.68897386870617,Probable abandonment,Probable abandonment,4.0,Probable settlement abandonment,True,True,False,Moderate,Moderate,8,Priority 2,"The 2023 settlement footprint shows a substantial reduction in the built-surface proxy relative to 2015. The pattern is consistent with physical settlement contraction, although Landsat resolution does not permit building-level confirmation.","NDVI increased substantially by +0.154, indicating notable vegetation recovery or encroachment within the settlement-analysis area.","NDBI declined strongly by -0.149, supporting a substantial reduction in built-surface spectral response.",Multiple spectral indicators are consistent with substantial settlement decline. The case is classified as probable rather than confirmed because no independent documentary or field evidence has been incorporated.
5,VV_12,Dipchari,Bama,11.38822,13.9068,B1 - Physical/light decline with population persistence or growth,False,Strong abandonment-like spectral signal,0.1021941304206848,-0.0468874424695968,-56.63479923518165,Probable abandonment,Probable abandonment,4.0,Probable settlement abandonment,True,True,False,Moderate,Moderate,8,Priority 2,"The 2023 settlement footprint shows a substantial reduction in the built-surface proxy relative to 2015. The pattern is consistent with physical settlement contraction, although Landsat resolution does not permit building-level confirmation.","NDVI increased substantially by +0.102, indicating notable vegetation recovery or encroachment within the settlement-analysis area.","NDBI declined by -0.047, supporting some reduction in built-surface spectral response.",Multiple spectral indicators are consistent with substantial settlement decline. The case is classified as probable rather than confirmed because no independent documentary or field evidence has been incorporated.
6,VV_11,Ngaiwa,Ngala,12.08333,14.06667,B1 - Physical/light decline with population persistence or growth,False,Moderate abandonment-like spectral signal,0.1645655184984207,-0.0224996134638786,-85.34098151688974,Possible abandonment,Possible abandonment signal,3.0,Possible settlement abandonment,False,True,False,Low,Low,5,Priority 2,"The 2023 imagery indicates possible settlement contraction, but the visible change is less conclusive than in the strongest spectral-decline cases.","NDVI increased substantially by +0.165, indicating notable vegetation recovery or encroachment within the settlement-analysis area.","NDBI declined by -0.022, supporting some reduction in built-surface spectral response.","Some abandonment-like spectral indicators are present, but the evidence is insufficient for a probable or confirmed classification."
7,VV_01,Mitile,Abadam,13.35765,13.42618,A2 - Probable settlement decline candidate,True,Mixed or uncertain spectral signal,0.0094535797834396,0.0214219093322753,-0.2931803696622097,Uncertain,Inconclusive evidence,2.0,Inconclusive manual visual evidence,False,False,False,Low,Low,4,Priority 1,No substantial physical settlement contraction is clearly visible in the Landsat comparison despite statistical decline evidence.,NDVI increased slightly by +0.009; vegetation change is limited.,"NDBI increased by +0.021, which does not support a broad decline in built-surface response.","Mitile is the sole statistically supported probable-decline candidate, but its Landsat spectral evidence is mixed and does not independently corroborate settlement abandonment."
8,VV_08,Wala,Gwoza,11.17255,13.76114,B1 - Physical/light decline with population persistence or growth,False,Mixed or uncertain spectral signal,0.0840987265110015,0.0023089423775672,-39.15869980879542,Uncertain,Inconclusive evidence,2.0,Inconclusive manual visual evidence,False,False,False,Low,Low,2,Priority 2,The RGB comparison contains mixed settlement-change signals. Any visible decline is limited or spatially inconsistent.,"NDVI increased by +0.084, indicating moderate vegetation recovery or encroachment.","NDBI increased by +0.002, which does not support a broad decline in built-surface response.",The available indicators conflict or remain too weak for a defensible abandonment classification.
9,VV_06,Sigel,Kala Balge,12.01969,14.55447,C1 - Multi-indicator candidate with insufficient population evidence,False,Mixed or uncertain spectral signal,0.0930221676826477,0.0328810811042785,-1.440407903123003,Uncertain,Inconclusive evidence,2.0,Inconclusive manual visual evidence,False,False,False,Low,Low,1,Priority 2,The RGB comparison contains mixed settlement-change signals. Any visible decline is limited or spatially inconsistent.,"NDVI increased by +0.093, indicating moderate vegetation recovery or encroachment.","NDBI increased by +0.033, which does not support a broad decline in built-surface response.",The available indicators conflict or remain too weak for a defensible abandonment classification.
10,VV_07,Agumbagwa Clan,Gwoza,11.20512,13.82971,B1 - Physical/light decline with population persistence or growth,False,Mixed or uncertain spectral signal,0.0579335689544677,-0.0514900684356689,-2.676864244741878,Uncertain,Inconclusive evidence,2.0,Inconclusive manual visual evidence,False,False,False,Low,Low,1,Priority 2,The RGB comparison contains mixed settlement-change signals. Any visible decline is limited or spatially inconsistent.,"NDVI increased by +0.058, indicating moderate vegetation recovery or encroachment.","NDBI declined by -0.051, supporting some reduction in built-surface spectral response.",The available indicators conflict or remain too weak for a defensible abandonment classification.
