Validation_ID,Settlement,LGA,Manual_Final_Decision,Reviewer_Confidence,Final_Evidence_Rank,Statistical_Abandonment_Support,Preliminary_Spectral_Evidence,Latitude,Longitude
VV_02,Wumbi,Kala Balge,Probable abandonment,Moderate,1,False,Strong abandonment-like spectral signal,12.36166,14.35716
VV_03,Johana,Kala Balge,Probable abandonment,Moderate,2,False,Strong abandonment-like spectral signal,12.3713,14.32609
VV_05,Disa,Gwoza,Probable abandonment,Moderate,3,False,Strong abandonment-like spectral signal,11.0262,13.57547
VV_10,Limila,Bama,Probable abandonment,Moderate,4,False,Strong abandonment-like spectral signal,11.32878,13.99383
VV_12,Dipchari,Bama,Probable abandonment,Moderate,5,False,Strong abandonment-like spectral signal,11.38822,13.9068
VV_11,Ngaiwa,Ngala,Possible abandonment,Low,6,False,Moderate abandonment-like spectral signal,12.08333,14.06667
VV_01,Mitile,Abadam,Uncertain,Low,7,True,Mixed or uncertain spectral signal,13.35765,13.42618
VV_08,Wala,Gwoza,Uncertain,Low,8,False,Mixed or uncertain spectral signal,11.17255,13.76114
VV_06,Sigel,Kala Balge,Uncertain,Low,9,False,Mixed or uncertain spectral signal,12.01969,14.55447
VV_07,Agumbagwa Clan,Gwoza,Uncertain,Low,10,False,Mixed or uncertain spectral signal,11.20512,13.82971
VV_04,Kiva,Gwoza,Not supported,Moderate,11,False,Limited or stable spectral change,11.20749,13.7558
VV_09,Pulka,Gwoza,Not supported,Moderate,12,False,Limited or stable spectral change,11.21029,13.79345
VV_13,Mairamri,Konduga,Reconstruction or reoccupation,Moderate,13,False,Moderate development or reoccupation signal,11.57335,13.53663
