geonameid,name,LGA,AUDIT_NTL,AUDIT_Built,AUDIT_Strong_Built,AUDIT_Conflict,AUDIT_Population_Decline,AUDIT_Population_Increase,AUDIT_Population_Stable,AUDIT_Population_Insufficient,AUDIT_Four_Indicator_Evidence_Count,AUDIT_Population_Context,AUDIT_Scientific_Interpretation,AUDIT_Overclaim_Risk,Settlement_Change_Typology,Refined_Decline_Evidence_Class,_gid,AUDIT_Final_Recommendation,Population_2015_1km,Population_2023_1km,Population_Pct_Change_2015_2023,Population_Change_Class,Built_Change_Flag,Built_Prob_Change_2015_2023,Built_Area_Change_2015_2023_km2,Refined_NTL_Evidence,NTL_2015,NTL_2023,Conflict_Exposure_Class,Events_10km,Fatalities_10km,Validated_Scientific_Class,Validated_Interpretation_Confidence,Validated_Interpretation,Validated_Public_Decision,Confirmed_Abandonment,Abandonment_Claim_Allowed,Preferred_Term,Validated_Support_Score,Population_Contradiction,Validated_Priority_Rank
2330073,Mitile,Abadam,False,True,True,True,True,False,False,False,3,Population decline corroborates contraction,Physical built-signal and population contraction evidence,LOW — population decline provides demographic corroboration,A2 - Probable settlement decline candidate,Tier 2R - Moderate refined decline candidate,2330073,RETAIN — strongest settlement-contraction candidate,3858.0693359375,2991.525390625,-22.460559151717067,Moderate modelled population decline,Strong built-signal decline,-0.2742322921682733,-0.2660910210108457,No NTL decline evidence,0.0622483830205649,0.3085757315538901,High conflict exposure,32.0,484.0,A1 - Strong physical-demographic contraction evidence,High,Strong built-signal decline and modelled population decline provide convergent physical-demographic evidence of settlement contraction.,PRIORITY CONTRACTION CASE,False,False,settlement contraction / decline signal,7,False,1
11251513,Johana,Kala Balge,False,True,True,False,True,False,False,False,2,Population decline corroborates contraction,Physical built-signal and population contraction evidence,LOW — population decline provides demographic corroboration,A3 - Physical and population decline indicator,Tier 3R - Built-decline indicator only,11251513,DOWNGRADE INTERPRETATION — built-signal decline requires corroboration,1127.1866455078125,885.02490234375,-21.483730678424195,Moderate modelled population decline,Strong built-signal decline,-0.0809108103041305,-0.0607669826454626,No NTL decline evidence,0.0586738489618797,0.4442956452483139,Lower conflict exposure,4.0,24.0,A1 - Strong physical-demographic contraction evidence,High,Strong built-signal decline and modelled population decline provide convergent physical-demographic evidence of settlement contraction.,PRIORITY CONTRACTION CASE,False,False,settlement contraction / decline signal,6,False,2
2318905,Wumbi,Kala Balge,False,True,True,False,True,False,False,False,2,Population decline corroborates contraction,Physical built-signal and population contraction evidence,LOW — population decline provides demographic corroboration,A3 - Physical and population decline indicator,Tier 3R - Built-decline indicator only,2318905,DOWNGRADE INTERPRETATION — built-signal decline requires corroboration,1600.5880126953125,1269.8360595703125,-20.664402738343,Moderate modelled population decline,Strong built-signal decline,-0.1370251052577314,-0.1377105600145714,No NTL decline evidence,0.0502665983184531,0.5306085368892427,Lower conflict exposure,5.0,34.0,A1 - Strong physical-demographic contraction evidence,High,Strong built-signal decline and modelled population decline provide convergent physical-demographic evidence of settlement contraction.,PRIORITY CONTRACTION CASE,False,False,settlement contraction / decline signal,6,False,3
2344781,Dipchari,Bama,True,True,True,True,False,True,True,False,3,Population increased,Built/light decline with population persistence or growth,HIGH — population growth contradicts literal abandonment interpretation,B1 - Physical/light decline with population persistence or growth,Tier 1R - Strong refined decline candidate,2344781,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,609.1289672851562,1054.4803466796875,73.11282229433779,Modelled population increase,Strong built-signal decline,-0.1660905659068815,-0.1516676453350703,Strong temporally consistent NTL decline,0.0698643705191343,0.328947355730499,High conflict exposure,26.0,112.0,B1 - Strong decline signals with modelled population growth,High signal confidence; low abandonment confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, but modelled population growth contradicts a literal abandonment interpretation.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,5,True,4
2324733,Pulka,Gwoza,True,True,True,True,False,False,True,False,3,Population stable/increasing,Built/light decline with population persistence or growth,MODERATE — decline signals lack population-loss corroboration,B1 - Physical/light decline with population persistence or growth,Tier 1R - Strong refined decline candidate,2324733,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,1805.34912109375,2019.299072265625,11.850890704300776,Modelled population relatively stable,Strong built-signal decline,-0.1394864455662697,-0.0915326150391477,Strong temporally consistent NTL decline,0.1582405682285922,0.326885655455632,Very high conflict exposure,73.0,343.0,B2 - Strong decline signals with population persistence,Moderate-High signal confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, while relatively stable modelled population prevents an abandonment inference.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,5,True,5
8709767,Agumbagwa Clan,Gwoza,True,True,False,True,False,False,True,False,3,Population stable/increasing,Built/light decline with population persistence or growth,MODERATE — decline signals lack population-loss corroboration,B1 - Physical/light decline with population persistence or growth,Tier 2R - Moderate refined decline candidate,8709767,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,34.30624771118164,34.63121795654297,0.9472625747274852,Modelled population relatively stable,Moderate built-signal decline,-0.0027622752365337,0.0,Moderate temporally consistent NTL decline,0.0662924291109544,0.3048038978120084,Very high conflict exposure,83.0,496.0,B2 - Strong decline signals with population persistence,Moderate-High signal confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, while relatively stable modelled population prevents an abandonment inference.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,4,True,6
2332000,Limila,Bama,True,True,False,True,False,True,True,False,3,Population increased,Built/light decline with population persistence or growth,HIGH — population growth contradicts literal abandonment interpretation,B1 - Physical/light decline with population persistence or growth,Tier 2R - Moderate refined decline candidate,2332000,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,287.6137084960937,359.6117858886719,25.0329088168466,Modelled population increase,Moderate built-signal decline,-0.0434390750961777,-0.0162397510409157,Strong temporally consistent NTL decline,0.0527333641453948,0.2995018967491804,High conflict exposure,28.0,80.0,B1 - Strong decline signals with modelled population growth,High signal confidence; low abandonment confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, but modelled population growth contradicts a literal abandonment interpretation.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,4,True,7
2331333,Mairamri,Konduga,True,True,False,True,False,False,True,False,3,Population stable/increasing,Built/light decline with population persistence or growth,MODERATE — decline signals lack population-loss corroboration,B1 - Physical/light decline with population persistence or growth,Tier 2R - Moderate refined decline candidate,2331333,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,3188.2099609375,3623.013671875,13.637863135263684,Modelled population relatively stable,Moderate built-signal decline,-0.1225299800887361,-0.0799431278561006,Strong temporally consistent NTL decline,0.6479756165521416,0.3169090414425326,High conflict exposure,26.0,109.0,B2 - Strong decline signals with population persistence,Moderate-High signal confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, while relatively stable modelled population prevents an abandonment inference.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,4,True,8
2329089,Ngaiwa,Ngala,True,True,False,True,False,True,True,False,3,Population increased,Built/light decline with population persistence or growth,HIGH — population growth contradicts literal abandonment interpretation,B1 - Physical/light decline with population persistence or growth,Tier 2R - Moderate refined decline candidate,2329089,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,266.9344177246094,394.5100708007813,47.79288267269791,Modelled population increase,Moderate built-signal decline,-0.0245294070630654,-0.0173813436030678,Strong temporally consistent NTL decline,0.3954589511980557,0.464854954512568,High conflict exposure,27.0,177.0,B1 - Strong decline signals with modelled population growth,High signal confidence; low abandonment confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, but modelled population growth contradicts a literal abandonment interpretation.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,4,True,9
6759826,Wala,Gwoza,True,True,False,True,False,True,True,False,3,Population increased,Built/light decline with population persistence or growth,HIGH — population growth contradicts literal abandonment interpretation,B1 - Physical/light decline with population persistence or growth,Tier 2R - Moderate refined decline candidate,6759826,RETAIN WITH CAUTION — strong physical/light/conflict evidence; avoid literal abandonment claim without population loss,295.1727600097656,463.5639343261719,57.0483449457989,Modelled population increase,Moderate built-signal decline,-0.0197824717572048,0.0,Strong temporally consistent NTL decline,0.3808106119329952,0.3163135720794649,Very high conflict exposure,78.0,368.0,B1 - Strong decline signals with modelled population growth,High signal confidence; low abandonment confidence,"Built-signal decline, night-light decline and conflict exposure indicate substantial settlement change, but modelled population growth contradicts a literal abandonment interpretation.",PRIORITY CHANGE-SIGNAL CASE — population does not corroborate abandonment,False,False,settlement contraction / decline signal,4,True,10
